source_id,date_raw,date_parsed,time,location,country,description,references
Magonia_547,9/15/1962,1962-09-15,1700,"Oradell, New Jersey",United States,"Two bright disks were first seen at 1700, then were seen again at 1800, at the state line. Two witnesses saw one round object with a fin on top and another under it at 1950, and reported that it was going down toward the Oradell reservoir. Three young men saw and heard the object as it touched the water. Another witness called police. The luminous object took off a few minutes later. Official investigation described it as bright, surrounded with a glow, the apparent size of a small plane 1 km away. It left toward the south.",Atic (Vallee)
Magonia_548,9/18/1962,1962-09-18,,"Barcelos, Brazil",Brazil,"Three men working in a rubber plantation saw a large, disk-shaped object hover above the river. It emitted sparks, was of silvery color, and very brilliant. It eventually rose straight up at high speed. Disappearance of cattle was noticed in the area during that period and blamed on the same cause.","APRO Jan., 63 (Vallee)"
Magonia_549,10/24/1962,1962-10-24,,"Horsetooth Reservoir, Colorado",United States,Undocumented claim that a landing took place. No traces.,"NICAP Oct., 62 (Vallee)"
Magonia_550,10/28/1962,1962-10-28,1930,"Norwood, Australia",Australia,"Mrs. E. D. Silvester was driving with her three children when an illuminated oval object landed near the road. She watched it for 40 min, and reported seeing a man wearing a helmet and gas mask in the vicinity of the object.","FSR 63, 4 (Vallee)"
Magonia_551,11/1962,1962-11,evening,"Var, France",France,"A garage owner was driving through a rainstorm when he suddenly saw a group of figures 80 m away. He slowed down as they went away jerkily, and observed that they were bizarre, birdlike creatures. As they rushed toward the car, he drove past them in terror and saw them going back toward a luminous, blue object hovering in a field. They entered it as if ""sucked into it,"" and a dull sound was heard before the object flew off.","FSR 68, 6 (Vallee)"
Magonia_552,12/9/1962,1962-12-09,2200,"Bologna, Italy",Italy,"Antonio Candau saw a circular object land in Cadivilla, 9 m away from him. It was about 5.5 m m diameter, and two men emerged from it, approaching within 2 m, and spoke incomprehensible words. They wore yellow coveralls and a wide belt. Noting that the witness was afraid, one of them made a reassuring gesture with his hand, and the craft departed with a strange sound.","Settimana Incom. Dec. 30, 62 (Vallee)"
Magonia_553,12/11/1962,1962-12-11,dawn,"Chumbicha, Argentina",Argentina,"G. L. Colodrero and the director of the Cordoba Historial Museum were driving from Catamarca to Cordoba when, 7 km away from Chumbicha, they saw seven objects on the ground of a mountain slope. They were bright and spherical, rose straight up and flew away with a very bright trail.",CODOVNI 1962 (Vallee)
Magonia_554,12/17/1962,1962-12-17,dawn,"Milan, Italy",Italy,"Francesco Rizzi, night watchman, was crossing the factory yard when he heard a whistling sound and observed an object hovering 1 m above ground. It was a silvery disk, about 5 m in diameter, with lighted windows. The noise stopped, a door became visible, and a small being appeared and made a gesture. A second figure was also seen. The craft took off with a puff of white smoke and a whistling sound.",138 (Vallee)
Magonia_555,12/19/1962,1962-12-19,,"Verbania, Italy",Italy,"Three sailors on a ship observed two gray, helmet-shaped objects hovering 1 km away at 20 m altitude above Lake Major. Diameter: about 15 m. After 5 min one object started moving rapidly, gaining height with an undulating movement. It was soon joined by the second object, and both disappered together at the horizon.",139 (Vallee)
Magonia_556,12/21/1962,1962-12-21,0215,"Buenos Aires Airport, Argentina",Argentina,"A large, fiery disk was observed on the runway by Horado Alora and Mario Pezzuto, the two control tower operators, and by the crews of two aircraft. It rose to 10 m altitude, hovered, and flew away to the northeast.",CODOVNI 1962 (Vallee)
Magonia_557,1/4/1963,1963-01-04,1900,"Rome, Italy",Italy,"A well-known psychiatrist saw an object on the ground in a deserted city park. Shape: a dome upon a cylinder, bearing a series of round apertures and surrounded by a thick, roundish ring, set on a tripod landing gear supporting the base of the cylinder 1 m above the ground. Diameter: 5 m. Suddenly the ring started spinning rapidly, and a gust of air was felt as the craft rose a few m above ground, then disappeared in a split second.",142 (Vallee)
Magonia_558,1/11/1963,1963-01-11,2300,"San Pietro, Italy",Italy,"A 43-year-old farmer was awakened by restless animals and went out to calm them. Fifteen min later he saw an object land in a small square in the village, went toward it, was ""paralyzed"" when 10 m away. Two min later the craft, 4.5 m long, 1.5 m high, with a translucent upper dome showing two dark, moving figures, ascended in the direction of Brindisi, emitted a vertical beam of green light.",143 (Vallee)
Magonia_559,1/28/1963,1963-01-28,1720,"Shilton, Great Britain",United Kingdom,"Mary Sharp and Mrs. E. L. Sharp saw an object on the ground. It had four windows, emitted a yellow-orange light, and eventually left toward Rugby.",Atic (Vallee)
Magonia_560,1/28/1963,1963-01-28,night,"Mamina, Chile",Chile,"A former Chilean Air Force officer, who was driving a truck, observed two disk-shaped objects that followed him for over ten min.",Atic (Vallee)
Magonia_561,1/31/1963,1963-01-31,,"Ganada de Algosaray, Argentina",Argentina,An object was reported to have landed. The Lopez brothers found traces in the grass and evidence of intense heat. Police investigation. A whitish powder was also found at the site.,"FSR 66, 1 (Vallee)"
Magonia_562,2/5/1963,1963-02-05,,"Ascension, Paraguay",Paraguay,"Approximate date. A student, Anastasio Lenven, saw an object land on the school grounds. In a different observation, several residents, including an official of the Ministry of the Interior, saw an object flying at very high speed over Ascension.",Atic (Vallee)
Magonia_563,2/15/1963,1963-02-15,0710,"Willow Grove, Australia",Australia,"A civilian observed an object arriving from the east. It stopped at 15 m altitude over his farmhouse. The object made a swishing sound, and measured about 8 m in diameter, 3 m in height. The underside was spinning in a counterclockwise direction, had a blue color and no light. It took off faster than a jet, after hovering about five sec. The witness suffered from a strong headache all day.",Atic (Vallee)
